graph_idx,edges,triangles,K4
1,425,1312,1141
2,426,1318,1149
3,427,1326,1162
4,424,1302,1122
5,425,1310,1135
6,426,1318,1148
7,427,1326,1161
8,425,1310,1136
9,426,1318,1149
10,427,1326,1162
11,428,1334,1175
12,426,1320,1155
13,424,1304,1128
14,423,1296,1115
15,424,1304,1128
16,425,1312,1141
17,426,1320,1154
18,424,1304,1129
19,425,1312,1142
20,426,1320,1155
21,427,1328,1168
22,425,1310,1135
23,426,1318,1148
24,430,1316,1104
25,425,1312,1142
26,428,1336,1181
27,427,1328,1168
28,427,1327,1164
29,426,1319,1151
30,428,1335,1177
31,427,1327,1164
32,428,1334,1174
33,426,1319,1152
34,426,1318,1148
35,428,1335,1178
36,427,1326,1161
37,427,1327,1165
38,427,1327,1165
39,426,1318,1148
40,427,1332,1177
41,430,1313,1099
42,427,1333,1185
43,430,1352,1207
44,429,1344,1194
45,428,1335,1177
46,429,1344,1194
47,428,1335,1177
48,427,1327,1164
49,428,1336,1181
50,426,1318,1148
51,427,1326,1161
52,425,1310,1135
53,427,1329,1170
54,426,1321,1157
55,427,1330,1174
56,426,1321,1157
57,426,1322,1161
58,425,1313,1144
59,427,1329,1170
60,426,1321,1157
61,429,1343,1190
62,427,1326,1161
63,428,1337,1183
64,427,1329,1170
65,428,1338,1187
66,427,1330,1174
67,428,1335,1179
68,429,1344,1196
69,427,1327,1166
70,428,1336,1183
71,427,1327,1166
72,426,1319,1153
73,427,1328,1170
74,428,1338,1187
75,429,1346,1200
76,428,1338,1187
77,427,1330,1174
78,425,1308,1131
79,426,1316,1144
80,427,1324,1157
81,428,1332,1170
82,426,1321,1158
83,427,1329,1171
84,427,1329,1171
85,428,1337,1184
86,427,1324,1157
87,426,1316,1144
88,428,1333,1173
89,429,1342,1190
90,428,1332,1171
91,430,1350,1203
92,430,1350,1203
93,426,1316,1145
94,428,1332,1171
95,429,1340,1184
96,427,1324,1158
97,429,1343,1192
98,430,1352,1209
99,428,1335,1180
100,427,1327,1167
101,430,1349,1200
102,428,1333,1174
103,428,1333,1174
104,429,1341,1187
105,427,1325,1161
106,429,1341,1187
107,428,1335,1179
108,429,1344,1196
109,429,1344,1196
110,428,1336,1183
111,428,1335,1179
112,427,1327,1166
113,428,1336,1183
114,425,1310,1137
115,426,1318,1150
116,427,1326,1163
117,428,1334,1176
118,428,1335,1180
119,426,1318,1151
120,429,1343,1191
121,428,1335,1178
122,429,1344,1194
123,426,1321,1158
124,425,1312,1141
125,425,1312,1141
126,426,1320,1154
127,424,1302,1124
128,425,1310,1137
129,426,1318,1150
130,427,1326,1163
131,425,1310,1137
132,426,1318,1150
133,427,1324,1158
134,430,1349,1199
135,429,1341,1186
136,429,1342,1190
137,427,1325,1160
138,428,1334,1177
139,429,1341,1186
140,428,1333,1173
141,429,1342,1190
142,428,1333,1173
143,429,1341,1186
144,430,1350,1203
145,429,1342,1189
146,428,1334,1176
147,429,1342,1189
148,430,1350,1202
149,428,1334,1180
150,427,1326,1167
151,428,1334,1180
152,429,1342,1193
153,427,1326,1163
154,428,1334,1176
155,426,1318,1150
156,426,1318,1150
157,426,1316,1144
158,427,1324,1157
159,427,1324,1157
160,428,1332,1170
161,429,1340,1183
162,428,1332,1170
163,428,1332,1170
164,427,1324,1157
165,429,1341,1187
166,428,1333,1174
167,425,1310,1138
168,427,1326,1164
169,428,1334,1177
170,426,1318,1151
171,427,1331,1175
172,428,1341,1194
173,427,1333,1183
174,429,1349,1209
175,426,1325,1170
176,428,1341,1196
177,427,1333,1183
178,426,1323,1162
179,428,1341,1196
180,429,1343,1193
181,428,1335,1180
182,427,1326,1163
183,426,1319,1154
184,427,1327,1167
185,427,1326,1163
186,427,1327,1167
187,428,1334,1174
188,427,1326,1164
189,426,1324,1164
190,429,1342,1189
191,427,1334,1184
192,426,1324,1166
193,425,1316,1153
194,426,1326,1171
195,428,1332,1170
196,429,1340,1185
197,427,1324,1161
198,428,1332,1174
199,429,1340,1186
200,428,1332,1173
201,428,1332,1175
202,429,1340,1188
203,429,1340,1188
204,430,1348,1201
205,427,1324,1157
206,428,1332,1170
207,428,1332,1172
208,429,1340,1185
209,428,1332,1171
210,429,1340,1184
211,429,1340,1183
212,430,1348,1196
213,429,1340,1185
214,430,1348,1198
215,430,1348,1198
216,430,1348,1198
217,429,1340,1183
218,428,1336,1181
219,428,1335,1178
220,427,1327,1165
221,426,1321,1158
222,425,1312,1141
223,427,1329,1171
224,426,1320,1154
225,426,1320,1154
226,425,1314,1145
227,425,1313,1145
228,424,1304,1128
229,427,1328,1167
230,427,1326,1163
231,428,1334,1178
232,429,1342,1191
233,428,1334,1176
234,426,1318,1154
235,427,1326,1167
236,428,1334,1179
237,427,1326,1166
238,427,1326,1168
239,428,1334,1181
240,428,1334,1181
241,429,1342,1194
242,426,1318,1150
243,427,1326,1163
244,427,1326,1165
245,428,1334,1178
246,427,1326,1164
247,428,1334,1177
248,429,1342,1189
249,428,1334,1176
250,428,1334,1178
251,429,1342,1191
252,429,1342,1191
253,430,1350,1204
254,427,1333,1181
255,426,1324,1168
256,428,1341,1200
257,427,1333,1187
258,427,1328,1167
259,426,1320,1154
260,427,1332,1183
261,427,1333,1183
262,427,1332,1179
263,426,1324,1166
264,428,1341,1196
265,427,1332,1179
266,426,1324,1166
267,425,1316,1153
268,426,1324,1166
269,428,1339,1190
270,427,1331,1177
271,426,1323,1164
272,426,1323,1166
273,426,1323,1168
274,427,1330,1173
275,426,1322,1160
276,426,1322,1160
277,425,1314,1147
278,424,1306,1134
279,425,1314,1151
280,426,1322,1164
281,425,1314,1147
282,426,1322,1160
283,425,1314,1147
284,428,1336,1182
285,427,1328,1169
286,427,1332,1179
287,427,1326,1161
288,428,1334,1176
289,428,1340,1192
290,426,1324,1170
291,426,1323,1164
292,427,1331,1177
293,427,1331,1181
294,425,1315,1151
295,425,1314,1149
296,427,1326,1162
297,428,1334,1175
298,428,1334,1174
299,429,1342,1187
300,426,1318,1153
301,427,1326,1166
302,428,1334,1178
303,427,1326,1165
304,426,1318,1148
305,427,1326,1161
306,426,1322,1158
307,426,1320,1159
308,425,1312,1146
309,426,1320,1158
310,427,1328,1171
311,427,1328,1173
312,426,1320,1160
313,427,1328,1173
314,428,1336,1186
315,426,1320,1154
316,425,1312,1141
317,427,1328,1169
318,426,1320,1156
319,427,1328,1168
320,426,1320,1155
321,427,1328,1167
322,428,1336,1180
323,428,1336,1182
324,427,1328,1169
325,428,1336,1182
326,429,1344,1195
327,427,1331,1177
328,426,1323,1164
